c1      c2      iter    f1          other
0.2     0.1     100     0.69955     0 -1+0 0+1
0.2     0.1     50      0.71485     -1 0 +1 -1+0 0+1
0.2     0.1     100     0.72370     -1 0 +1 -1+0 0+1
0.2     0.1     150     0.72351     -1 0 +1 -1+0 0+1
0.2     0.1     100     0.72515     -1 0 +1 -1+0 0+1 punc
0.2     0.1     200     0.72396     -1 0 +1 -1+0 0+1 punc
0.2     0.1     100     0.72210     -1 0 +1 -1+0 0+1 digit
0.2     0.1     150     0.72402     -1 0 +1 -1+0 0+1 digit
0.2     0.1     150     0.72648     -1 0 +1 -1+0 0+1 english
0.2     0.1     200     0.72665     -1 0 +1 -1+0 0+1 english
0.2     0.1     100     0.72179     -1 0 +1 -1+0 0+1 punc digit
0.2     0.1     200     0.72318     -1 0 +1 -1+0 0+1 punc digit
0.2     0.1     300     0.72468     -1 0 +1 -1+0 0+1 punc digit
0.2     0.1     400     0.72639     -1 0 +1 -1+0 0+1 punc digit
0.2     0.1     500     0.72546     -1 0 +1 -1+0 0+1 punc digit
0.2     0.1     500     0.72920     -1 0 +1 -1+0 0+1 punc digit english
0.2     0.1     600     0.72942     -1 0 +1 -1+0 0+1 punc digit english
